run_id,environment_id,seed,started_at,finished_at,episode_latency_seconds,step_count,terminated,truncated,success,total_reward,reward_per_step,steps_per_second,reward_per_second,repeat_action_rate,llm_cost_usd,prompt_tokens,completion_tokens,total_tokens,mean_llm_latency_seconds,p95_llm_latency_seconds,cost_per_step_usd,cost_per_success_usd,tokens_per_step,cost_data_coverage,token_data_coverage,llm_latency_data_coverage
f99dd943-ee02-4c58-9517-d80fda3b47af,qa:HotpotQA,196,2026-04-28T22:24:25.267907Z,2026-04-28T22:25:26.689173Z,61.421266,1,True,True,False,0.0,0.0,0.01628100599554558,0.0,0.0,,922,49,971,59.3663885900005,59.3663885900005,,,971.0,0.0,1.0,1.0
f894e26f-ab0b-46c1-b94b-036fb00f4494,qa:HotpotQA,193,2026-04-28T22:24:25.264953Z,2026-04-28T22:25:27.026933Z,61.76198,1,True,True,False,0.0,0.0,0.01619119076169514,0.0,0.0,,803,73,876,59.48936816399873,59.48936816399873,,,876.0,0.0,1.0,1.0
6a543740-cd87-4698-8da5-4163a52963d9,qa:HotpotQA,192,2026-04-28T22:24:25.273040Z,2026-04-28T22:25:27.132746Z,61.859706,1,True,True,False,0.0,0.0,0.01616561190898644,0.0,0.0,,860,66,926,59.71374640700196,59.71374640700196,,,926.0,0.0,1.0,1.0
a391bbfa-a336-451c-88cf-618a40d8d15c,qa:HotpotQA,197,2026-04-28T22:24:25.282820Z,2026-04-28T22:25:27.560012Z,62.277192,1,True,True,False,0.0,0.0,0.016057242914870023,0.0,0.0,,785,42,827,60.20635925100032,60.20635925100032,,,827.0,0.0,1.0,1.0
57ed1c94-9f81-4593-8bd5-6cee2211e031,qa:HotpotQA,194,2026-04-28T22:24:25.283790Z,2026-04-28T22:25:27.770076Z,62.486286,1,True,True,False,0.0,0.0,0.016003511554519338,0.0,0.0,,789,38,827,60.37549176200082,60.37549176200082,,,827.0,0.0,1.0,1.0
de0bf5a7-c034-4f15-a9a1-899ee348c172,qa:HotpotQA,203,2026-04-28T22:24:25.285400Z,2026-04-28T22:25:27.896226Z,62.610826,1,True,True,False,0.0,0.0,0.0159716787636694,0.0,0.0,,780,42,822,60.10774232800031,60.10774232800031,,,822.0,0.0,1.0,1.0
7d7ca9c9-c06d-4f19-a5e9-21ec736cb9f3,qa:HotpotQA,201,2026-04-28T22:24:25.286179Z,2026-04-28T22:25:28.128451Z,62.842272,1,True,True,False,0.0,0.0,0.015912855601401554,0.0,0.0,,1401,55,1456,61.27600276499834,61.27600276499834,,,1456.0,0.0,1.0,1.0
c9bf34d8-df26-4275-a6f3-07569cb70075,qa:HotpotQA,205,2026-04-28T22:24:25.288574Z,2026-04-28T22:25:28.232195Z,62.943621,1,True,True,False,0.0,0.0,0.015887233433869333,0.0,0.0,,824,50,874,60.78673299900038,60.78673299900038,,,874.0,0.0,1.0,1.0
4a9549e8-d313-42d5-9ae1-080618333861,qa:HotpotQA,199,2026-04-28T22:24:25.290142Z,2026-04-28T22:25:55.297350Z,90.007208,1,True,True,False,0.0,0.0,0.011110221305831417,0.0,0.0,,1319,41,1360,87.87983776799774,87.87983776799774,,,1360.0,0.0,1.0,1.0
6194e9ad-96f3-4aef-8be9-aa5d24735d6e,qa:HotpotQA,204,2026-04-28T22:24:25.291767Z,2026-04-28T22:25:55.461817Z,90.17005,1,True,True,False,0.0,0.0,0.011090156875814087,0.0,0.0,,787,38,825,88.3544022369988,88.3544022369988,,,825.0,0.0,1.0,1.0
